,Subwijken,no_car,one_car,two_plus_car,inwoners,banen,inwoners per km2,area,banen per km2,lng,lat
0,"Oog in Al, Welgelegen, Utrecht",26,60,15,9132,3279,6790,1.344918998527246,2438.0650459921153,5.09142,52.08661
1,"Lombok, Leidseweg, Utrecht",42,51,7,12744,3486,14040,0.9076923076923077,3840.508474576271,5.09955,52.08884
2,"Nieuw Engeland, Schepenbrt, Utrecht",43,45,12,7398,22740,1104,6.701086956521739,3393.479318734793,5.114349842071533,51.87269
3,"Pijlsweerd, Utrecht",40,54,5,6852,2415,13112,0.5225747406955461,4621.348511383538,5.109910011291504,52.09885025024414
4,"Ondiep, 2e Daalsebrt, Utrecht",38,50,12,14056,3114,10736,1.3092399403874813,2378.4792259533297,5.09736,52.09801
5,"Zuilen-west, Utrecht",33,51,16,10790,2670,10782,1.0007419773696902,2668.020389249305,5.114349842071533,52.10449
6,"Zuilen-noord en -oost, Utrecht",27,60,13,13572,2077,7989,1.6988358993616222,1222.6019009725908,5.25044,52.08964920043945
7,"Taagdreef, Wolgadreef, Utrecht",38,50,12,8952,2543,8687,1.030505352826062,2467.721291331546,5.13034,52.11491
8,"Zamenhofdreef, Neckardreef, Utrecht",40,48,12,7152,3344,5945,1.2030277544154753,2779.6532438478744,5.11412,52.11337
9,"Vechtzoom, Klopvaart, Utrecht",38,46,16,8693,6234,2791,3.1146542457900392,2001.506269412171,5.114349842071533,52.09126281738281
10,"Zambesidreef, Tigrisdreef, Utrecht",39,40,21,9502,1595,3031,3.134938964038271,508.78183540307305,5.11291,52.12215
11,"Votulast, Utrecht",40,53,7,13623,4466,12337,1.1042392802139904,4044.413271672906,5.12275,52.09126
12,"Tuindorp, Voordorp, Utrecht",23,58,18,14865,3025,4736,3.1387246621621623,963.7672384796501,5.150000095367432,52.099998474121094
13,"Wittevrouwen, Zeeheldenbrt, Utrecht",39,52,10,11205,3566,13507,0.8295698526689864,4298.6132976349845,5.122747898101807,52.09126281738281
14,"Oudwijk, Buiten Wittevrouwen, Utrecht",43,49,8,9714,5983,11338,0.8567648615276062,6983.246242536546,5.131499767303467,52.09165954589844
15,"Abstede, Gansstraat, Utrecht",36,55,9,9464,5552,2640,3.584848484848485,1548.7404902789517,5.12669,52.07967
16,"Wilhelminapark, Rijnsweerd, Utrecht",47,40,14,12950,45503,1962,6.600407747196738,6893.968030888031,5.13951,52.08652
17,"Binnenstad city- en winkelgeb, Utrecht",61,36,2,6232,46943,4239,1.4701580561453174,31930.580391527597,5.122747898101807,52.09126281738281
18,"Binnenstad woongebied, Utrecht",62,35,3,13180,15901,10658,1.2366297616813662,12858.33520485584,5.122747898101807,52.09126281738281
19,"Lunetten, Utrecht",39,50,12,11471,3557,4149,2.764762593395999,1286.548077761311,5.132299900054932,52.06259536743164
20,"Oud Hoograven, Tolsteeg, Utrecht",38,48,14,9767,3126,11186,0.8731450026819239,3580.161359680557,5.12274,52.07408142089844
21,"Nieuw Hoograven, Bokkenbrt, Utrecht",41,42,17,6673,919,6104,1.0932175622542595,840.6377940956091,5.114349842071533,52.08964920043945
22,"Dichterswijk, Rivierenwijk, Utrecht",30,57,12,14564,4008,12028,1.2108413701363485,3310.0950288382314,5.122747898101807,52.09126281738281
23,"Transwijk, Utrecht",49,44,7,7360,20455,2522,2.9183187946074542,7009.172554347826,5.1041998863220215,52.07448
24,"Kanaleneiland, Utrecht",45,42,13,16704,5102,11739,1.4229491438793764,3585.511135057471,5.09336519241333,52.071937561035156
25,"Terwijde, De Wetering, Utrecht",14,56,30,10808,8637,4019,2.6892261756655884,3211.704570688379,5.06106,52.07896
26,"Het Zand, Utrecht",16,50,34,10431,1432,6627,1.5740153915799004,909.7750934713833,5.043839931488037,52.09593963623047
27,"Leidsche Rijn Centrum e.o, Utrecht",25,51,24,7811,6345,4403,1.7740177151941858,3576.6271924209445,5.0549,52.08831
28,"Parkwijk, Langerak, Utrecht",13,59,28,11650,2570,6729,1.7313122306434834,1484.4231759656652,5.059929847717285,52.084861755371094
29,"Leidsche Rijn-zuid, Utrecht",.,.,.,609,14698,173,3.520231213872832,4175.2939244663385,5.0724,52.08653
30,"Vleuten, Haarzuilens, Utrecht",11,51,38,9165,3170,632,14.501582278481013,218.59683578832514,5.01061,52.10874557495117
31,"Veldhuizen, Vleuterweide, Utrecht",10,47,43,27949,4439,6115,4.570564186426819,971.2148914093528,5.01283,52.0943
32,"De Meern, Utrecht",8,54,38,12432,9704,1778,6.9921259842519685,1387.8468468468468,5.03659200668335,52.0789794921875
33,"Rijnenburg, Utrecht",.,.,.,249,114,23,10.826086956521738,10.530120481927712,5.00902,52.0986
